,Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
432,XBT/USD,2019-06-24 19:00:00,2019-06-27 08:00:00,long,10905.0,11935.5,7653780.0,60.59791530784706,1003.4905320051316
433,XBT/USD,2019-01-28 01:00:00,2019-01-30 08:00:00,short,3501.5,3419.0,2668783.0,18.39136567761023,857.9656832384562
434,XBT/USD,2019-10-22 09:00:00,2019-10-22 14:00:00,long,8284.0,8190.0,7366000.0,-10.205530292444859,998.7671151620063
435,XBT/USD,2015-12-27 22:00:00,2015-12-28 11:00:00,long,427.91,423.0,36667.0,-0.9946357558561759,97.3269028019567
436,XBT/USD,2017-06-28 00:00:00,2017-06-29 13:00:00,long,2504.2,2527.7,224955.0,0.8351586299056121,211.40433566958282
437,XBT/USD,2019-02-10 09:00:00,2019-02-10 22:00:00,short,3602.5,3642.5,2854202.0,-8.700438620514992,861.3435483212027
438,XBT/USD,2017-01-09 05:00:00,2017-01-09 09:00:00,short,889.15,904.5,74089.0,-1.4140947464841491,139.99446014134278
439,XBT/USD,2017-02-19 17:00:00,2017-02-20 09:00:00,short,1050.3,1058.32,129506.0,-0.9344022790964248,134.90927874006042
440,XBT/USD,2018-06-29 22:00:00,2018-07-01 15:00:00,long,6245.5,6318.0,2467918.0,4.534421605334893,583.4527713333907
441,XBT/USD,2017-09-24 06:00:00,2017-09-24 10:00:00,short,3629.0,3681.0,688918.0,-2.681748770001469,265.49316331428525
442,XBT/USD,2019-05-20 12:00:00,2019-05-20 19:00:00,short,7739.5,7905.0,3209246.0,-8.681329253128188,859.4515436323716
443,XBT/USD,2020-02-28 17:00:00,2020-02-28 19:00:00,short,8571.0,8683.0,8922985.0,-13.428481013670275,1329.4196015053647
444,XBT/USD,2020-03-07 18:00:00,2020-03-10 10:00:00,short,8880.5,8035.0,9465305.0,112.15662316703416,1351.7960633451876
445,XBT/USD,2016-08-18 11:00:00,2016-08-19 02:00:00,long,574.66,571.51,61057.0,-0.585613679657721,122.55198752480987
446,XBT/USD,2018-01-21 11:00:00,2018-01-23 18:00:00,short,12160.0,11238.0,2183570.0,14.732465653422125,399.1328151757562
447,XBT/USD,2019-07-29 01:00:00,2019-07-29 08:00:00,long,9660.0,9525.0,7159989.0,-10.505192448770023,1025.3328724206908
448,XBT/USD,2018-04-13 01:00:00,2018-04-16 06:00:00,long,7799.5,8089.0,2116645.0,9.712588638333582,554.2514903525356
449,XBT/USD,2019-05-22 14:00:00,2019-05-22 14:00:00,short,7877.5,7970.0,5715903.0,-8.421313781010756,833.7101223348003
450,XBT/USD,2018-07-31 09:00:00,2018-08-02 05:00:00,short,8012.0,7656.0,4214872.0,24.461975271158067,631.3033940068839
451,XBT/USD,2018-03-14 03:00:00,2018-03-14 03:00:00,long,9262.5,9092.0,2674053.0,-5.413856573648416,526.0062650840242
452,XBT/USD,2016-10-31 02:00:00,2016-10-31 13:00:00,short,696.0,704.0,79279.0,-1.294393286311385,128.1449123960135
453,XBT/USD,2017-08-17 09:00:00,2017-08-17 14:00:00,long,4466.0,4386.5,773481.0,-3.138917680345736,305.16502804659785
454,XBT/USD,2017-07-19 20:00:00,2017-07-20 00:00:00,short,2250.2,2295.0,297534.0,-2.581135504004592,255.5319882226713
455,XBT/USD,2016-09-17 15:00:00,2016-09-18 10:00:00,short,602.08,606.25,65260.0,-0.7455506820342223,122.41692554126652
456,XBT/USD,2017-09-19 23:00:00,2017-09-20 05:00:00,short,3883.8,3947.5,644980.0,-2.6798265417861797,265.3027895519212
457,XBT/USD,2017-09-21 08:00:00,2017-09-23 05:00:00,short,3854.9,3695.2,730804.0,8.193222824330629,268.17491208428675
458,XBT/USD,2018-08-14 23:00:00,2018-08-16 05:00:00,long,6193.5,6287.5,2869804.0,6.927331170801924,631.6201062123373
459,XBT/USD,2015-11-14 15:00:00,2015-11-14 21:00:00,short,331.95,336.0,26977.0,-0.9795728164740836,96.97671132912501
460,XBT/USD,2016-02-01 21:00:00,2016-02-02 04:00:00,short,370.15,374.5,29500.0,-0.9257243707536088,91.6474935933165
461,XBT/USD,2016-04-27 09:00:00,2016-04-28 20:00:00,short,464.99000000000007,448.78,36699.0,2.8507565966199286,95.27864150214486
462,XBT/USD,2019-12-05 23:00:00,2019-12-06 08:00:00,long,7391.5,7308.0,8126169.0,-12.561491409328644,1229.397224600531
463,XBT/USD,2018-03-31 14:00:00,2018-03-31 19:00:00,long,7053.0,6918.0,2051875.0,-5.677148142013363,551.171115255791
464,XBT/USD,2016-03-27 08:00:00,2016-03-28 13:00:00,long,416.8,423.39,33377.0,1.2464199934728442,93.46910346430671
465,XBT/USD,2016-01-21 21:00:00,2016-01-21 21:00:00,short,409.11,414.0,34186.0,-0.9869989964075514,97.7132824928158
466,XBT/USD,2018-11-08 03:00:00,2018-11-10 15:00:00,short,6455.0,6365.0,3608322.0,7.904113011525219,620.3034460955425
467,XBT/USD,2018-05-28 03:00:00,2018-05-28 04:00:00,long,7379.5,7293.5,3744912.0,-5.983801023898339,585.4229051400703
468,XBT/USD,2015-11-18 06:00:00,2015-11-18 12:00:00,short,332.05,336.0,26843.0,-0.9503539520009192,94.08571958990909
469,XBT/USD,2019-08-26 03:00:00,2019-08-27 02:00:00,long,10290.0,10108.5,6003984.0,-10.476448089251967,1018.6894412887892
470,XBT/USD,2018-06-20 01:00:00,2018-06-20 12:00:00,short,6610.0,6683.0,3547532.0,-5.862410981144564,580.3787664315372
471,XBT/USD,2018-01-27 06:00:00,2018-01-27 10:00:00,long,11313.0,11049.0,1783185.0,-3.7661669544208034,364.0618648677256
472,XBT/USD,2017-04-23 16:00:00,2017-04-28 13:00:00,long,1245.9,1323.0,180678.0,8.451165810252178,170.24215759894668
473,XBT/USD,2020-01-31 16:00:00,2020-01-31 21:00:00,short,9269.0,9375.0,10364700.0,-12.643241773654188,1251.6809950874276
474,XBT/USD,2016-06-02 04:00:00,2016-06-02 06:00:00,long,546.22,540.0,50398.0,-1.0627774455279917,104.00478112436414
475,XBT/USD,2018-12-13 09:00:00,2018-12-16 02:00:00,short,3381.5,3218.5,2579056.0,38.626510095195584,897.2168285898199
476,XBT/USD,2016-07-16 13:00:00,2016-07-17 01:00:00,short,659.07,666.5,76906.0,-1.3008204028793962,128.7807990701312
477,XBT/USD,2018-01-11 01:00:00,2018-01-11 01:00:00,long,14539.0,14202.0,2565501.0,-4.187145420357802,404.8220248295143
478,XBT/USD,2017-08-03 09:00:00,2017-08-06 11:00:00,long,2744.6,3164.8,618853.0,29.93768536260597,285.43698576370986
479,XBT/USD,2018-09-11 01:00:00,2018-09-11 03:00:00,long,6394.0,6321.0,3483674.0,-6.2921916939117075,615.7432595367591
480,XBT/USD,2016-01-07 03:00:00,2016-01-08 16:00:00,long,444.98,455.07,35909.0,1.789269584445695,92.1018890956449
481,XBT/USD,2019-08-31 00:00:00,2019-08-31 19:00:00,long,9589.0,9480.0,8473636.0,-10.160489845740095,994.3388120393103
482,XBT/USD,2019-11-06 19:00:00,2019-11-10 10:00:00,short,9301.0,8854.0,9360283.0,50.80744322956693,1195.3865339505114
483,XBT/USD,2016-04-15 00:00:00,2016-04-17 08:00:00,long,425.59,430.13,32866.0,0.8151012418771935,93.17465917319129
484,XBT/USD,2017-08-15 16:00:00,2017-08-15 21:00:00,short,4079.3,4206.5,424437.0,-3.1462542040922115,311.4789660190949
485,XBT/USD,2016-09-20 19:00:00,2016-09-22 12:00:00,short,604.58,595.84,64848.0,1.5733472587817767,122.9549123499322
486,XBT/USD,2018-05-25 03:00:00,2018-05-25 05:00:00,long,7596.0,7504.0,3900732.0,-6.295875901467644,615.6664203757565
487,XBT/USD,2015-12-22 20:00:00,2015-12-23 10:00:00,short,436.99,442.0,37061.0,-0.961304756655432,95.17019926599129
488,XBT/USD,2018-10-27 02:00:00,2018-10-27 14:00:00,long,6414.5,6399.0,3568204.0,-1.3474307500229974,614.3713176177598
489,XBT/USD,2018-08-11 05:00:00,2018-08-11 16:00:00,short,6096.0,6200.0,2316731.0,-6.374884218101765,631.1134354460881
